BoomRx Formulary — Illinois
Confidential — Hello Gorgeous
Generated July 7, 2026
Vince Deker · vince@boomrx.com
Product Name 	Category 	Form 	Strength / Size 	Unit Price
TIRZEPATIDE/L-CARNITINE 	Weight Loss 	Injectable 	10mg/100mg/ml; 1ml Vial 	$120.00
Topi-Click Perl 	Supplies 	Syringe 	Topi-Click Perl Device 	$4.00
Topiramate 	Anti-Convulsant 	Tab 	50mg 	$1.00
Topiramate 	Anti-Convulsant 	Tab 	25mg 	$1.00
Tretinoin 	Cosmetic Anti-Aging 	Cream 	0.15%; 30mL Tube 	$60.00
Tretinoin 	Cosmetic Anti-Aging 	Gel 	0.1%; 30mL Tube 	$40.00
Tretinoin 	Cosmetic Anti-Aging 	Gel 	0.15%; 30mL Tube 	$60.00
Tretinoin 	Cosmetic Anti-Aging 	Cream 	0.015%; 30mL Tube 	$40.00
Tretinoin 	Cosmetic Anti-Aging 	Cream 	0.02%; 30mL Tube 	$40.00
Tretinoin / Niacinamide / Hyaluronic Acid 	Cosmetic Anti-Aging 	Cream 	0.025/4/0.5%; 30mL Tube 	$60.00
Tretinoin / Niacinamide / Hyaluronic Acid 	Cosmetic Anti-Aging 	Cream 	0.045/4/0.5%; 30mL Tube 	$60.00
Vardenafil 	Sexual Health 	Capsule 	20mg 	$1.40
Vitamin D3 	Wellness 	Capsule 	10,000U 	$0.50
Vitamin D3 	Wellness 	Capsule 	5000U 	$0.50
Vitamin D3/Vitamin K2 	Wellness 	Capsule 	10,000iu/180mcg 	$0.60
Zomacton - Commercial 	HGH 	Injectable 	5mg vial 	$410.00
Clarity Cream (Azelaic Acid / Niacinamide / Clindamycin / Tretinoin) 	Cosmetic Cream 	Cream 	10 / 4 / 2 / 0.1%; 30 g Tube 	$100.00
ClearTone (Azelaic Acid / Hydroquinone / Kojic Acid / Tranexamic Acid / Niacinamide) 	Cosmetic Cream 	Cream 	10 / 4 / 2 / 5 / 4%; 30 g Tube 	$100.00
Ecstasy Cream for Her (Oxytocin / Theophylline / Arginine / Sildenafil) - Raspberry 	Sexual Health 	Cream 	50 IU / 3 / 6 / 2%; 10 g Tube 	$100.00
Eos Cream (Azelaic Acid / Niacinamide / Hyaluronic Acid / Tretinoin) 	Cosmetic Cream 	Cream 	10 / 5 / 0.25 / 0.05%; 30 g Tube 	$100.00
Glutathione 	Anti-Aging 	Injectable 	200 mg/mL; 30 mL (6,000 mg Vial) 	$60.00
Glutathione 	Anti-Aging 	Injectable 	200 mg/mL; 10 mL (2,000 mg Vial) 	$40.00
HydroTone Gel (Niacinamide / Dexpanthenol / Vitamin E / Hyaluronic Acid) 	Cosmetic Cream 	Cream 	4 / 2 / 1 / 0.2%; 30 g Tube 	$100.00
LuminEye (GHK-Cu / Caffeine / Tranexamic Acid / Hyaluronic Acid ) 	Cosmetic Cream 	Cream 	0.5 / 1 / 3 / 0.2%; 10 g Tube 	$100.00
MICC B12 	Vitamin Replacement 	Injectable 	25 mg / 50 mg / 50 mg / 330 mcg/mL; 10 mL (250 mg / 500 mg / 500 mg / 3,300 mcg Vial) 	$30.00
NAD+ Injectable 	Anti-Aging 	Injectable 	100 mg/mL; 10 mL (1,000 mg Vial) 	$90.00
Refine PM (GHK-Cu / Tretinoin / Dexpanthenol / Vitamin E / Hyaluronic Acid ) 	Cosmetic Cream 	Cream 	0.5 / 0.05 / 0.3 / 2 / 1%; 30 g Tube 	$100.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	2.5 mg / 2.5 mg / 1 mL; 1 mL (2.5 mg Vial) 	$55.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	2.5 mg / 2.5 mg / 1 mL; 2 mL (5 mg Vial) 	$70.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	2.5 mg / 2.5 mg / 1 mL; 3 mL (7.5 mg Vial) 	$90.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	2.5 mg / 2.5 mg / 1 mL; 4 mL (10 mg Vial) 	$105.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	1 mg / 1 mg / 1 mL; 1 mL (1 mg Vial) 	$40.00
Semaglutide / Glycine / B12 	Weight Loss 	Injectable 	5 mg / 5 mg / 1 mg / 1 mL; 2 mL (10 mg Vial) 	$105.00
Semaglutide / Glycine / B12 	Weight Loss 	Injectable 	5 mg / 5 mg / 1 mg / 1 mL; 3 mL (15 mg Vial) 	$135.00
Sermorelin 	HGH 	Injectable 	1 mg/mL; 9 mL Vial 	$90.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	20 mg / 5 mg / 1 mL; 1 mL (20 mg Vial) 	$100.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	10 mg / 5 mg / 1 mL; 4 mL (40 mg Vial) 	$150.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	10 mg / 5 mg / 1 mL; 3 mL (30 mg Vial) 	$135.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	10 mg / 5 mg / 1 mL; 2 mL (20 mg Vial) 	$100.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	10 mg / 5 mg / 1 mL; 1 mL (10 mg Vial) 	$75.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	20 mg / 5 mg / 1 mL; 2 mL (40 mg Vial) 	$150.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	20 mg / 5 mg / 1 mL; 3 mL (60 mg Vial) 	$185.00

-- 5 of 7 --

Tirzepatide / Glycine / B12 	Weight Loss 	Injectable 	10 mg / 5 mg / 500 mcg / 1 mL; 2 mL (20 mg Vial) 	$100.00
Tirzepatide / Glycine / B12 	Weight Loss 	Injectable 	10 mg / 5 mg / 500 mcg / 1 mL; 6 mL (60 mg Vial) 	$185.00
Vital C5 (Vitamin C / Niacinamide / Resveratrol / Vitamin E / Hyaluronic Acid) 	Cosmetic Cream 	Cream 	5 / 5 / 1 / 1 / 0.3%; 30 g Tube 	$100.00
BPC-157 	Peptide - Injection 	Injectable 	3 mg/mL; 5 mL (15 mg Vial) 	$120.00
BPC-157 / GHK-Cu / KPV / TB-500 	Peptide - Injection 	Injectable 	3 mg / 10 mg / 3 mg / 3 mg/mL; 5 mL (15 mg / 50 mg / 15 mg / 15 mg Vial) 	$150.00
BPC-157 / KPV / TB-500 	Peptide - Injection 	Injectable 	3 mg / 3 mg / 3 mg/mL; 5 mL (15 mg / 15 mg / 15 mg Vial) 	$150.00
BPC-157 / TB-500 	Peptide - Injection 	Injectable 	3 mg / 3 mg/mL; 5 mL (15 mg / 15 mg Vial) 	$150.00
BPC-157 / TB-500 / GHK-Cu 	Peptide - Injection 	Injectable 	3 mg / 3 mg / 10 mg/mL; 5 mL (15 mg / 15 mg / 50 mg Vial) 	$150.00
CJC-1295 / Ipamorelin 	Peptide - Injection 	Injectable 	1.2 mg / 2 mg/mL; 5 mL (6 mg / 10 mg Vial) 	$150.00
GHK-Cu 	Peptide - Injection 	Injectable 	10 mg/mL; 5 mL (50 mg Vial) 	$120.00
IGF-LR3 	Peptide - Injection 	Injectable 	200 mcg/mL; 5 mL (1,000 mcg Vial) 	$120.00
MOTS-C 	Peptide - Injection 	Injectable 	2 mg/mL; 5 mL (10 mg Vial) 	$120.00
MOTS-c / Tesamorelin 	Peptide - Injection 	Injectable 	2 mg / 3 mg/mL; 5 mL (10 mg / 15 mg Vial) 	$150.00
PT-141 	Peptide - Injection 	Injectable 	2 mg/mL; 5 mL (10 mg Vial) 	$120.00
SS-31 	Peptide - Injection 	Injectable 	4 mg/mL; 5 mL (20 mg Vial) 	$120.00
Tesamorelin 	Peptide - Injection 	Injectable 	3 mg/mL; 5 mL (15 mg Vial) 	$120.00
Tesamorelin / Ipamorelin 	Peptide - Injection 	Injectable 	3 mg / 2 mg/mL; 5 mL (15 mg / 10 mg Vial) 	$150.00
Thymosin A-1 	Peptide - Injection 	Injectable 	5 mg/mL; 5 mL (25 mg Vial) 	$120.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	10 mg / 0.5 mg/mL; 2 mL (20 mg / 1 mg Vial) 	$100.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	15 mg / 0.5 mg/mL; 2 mL (30 mg / 1 mg Vial) 	$135.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	25 mg / 0.5 mg/mL; 2 mL (50 mg / 1 mg Vial) 	$170.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	20 mg / 0.5 mg/mL; 2 mL (40 mg / 1 mg Vial) 	$150.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	5 mg / 0.5 mg/mL; 2 mL (10 mg / 1 mg Vial) 	$75.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	30 mg / 0.5 mg/mL; 2 mL (60 mg / 1 mg Vial) 	$185.00
ANASTROZOLE 0.25 MG CAPSULE 	HRT 	Capsule 	0.25mg 	$1.00
ANASTROZOLE 0.5 MG CAPSULE 	HRT 	Capsule 	0.5 MG 	$1.00
Bremelanotide (PT-141) 	Peptide - Injection 	Injectable 	10,000 mcg/mL; 1 mL (10,000 mcg Vial) 	$120.00
CLOMIPHENE CITRATE 25MG 	HRT 	Capsule 	25 MG 	$1.00
CLOMIPHENE CITRATE 30MG 	HRT 	Capsule 	30 MG 	$1.00
CLOMIPHENE CITRATE 50mg 	HRT 	Capsule 	50 MG 	$1.00
ENCLOMIPHENE 12.5 MG 	HRT 	Capsule 	12.5 MG 	$1.00
ENCLOMIPHENE 25MG 	HRT 	Capsule 	25MG 	$1.00
ENCLOMIPHENE 50 MG 	HRT 	Capsule 	50 MG 	$1.00
ENCLOMIPHENE 6.25 MG 	HRT 	Capsule 	6.25 MG 	$1.00
Female Desire (Apomorphine / Bremelanotide / Oxytocin / L-Theanine) 	Sexual wellness 	Troche 	2 mg / 0.3 mg / 20 IU / 50 mg 	$1.00
Glutathione 	Anti-Aging 	Injectable 	100 mg/mL; 10 mL (1,000 mg Vial) 	$35.00
Glutathione 	Anti-Aging 	Injectable 	200 mg/mL; 10 mL (2,000 mg Vial) 	$40.00
Gonadorelin 	HRT 	Injectable 	1 mg/mL; 2 mL Vial (2mg Vial) 	$50.00
Gonadorelin 	Peptide - Injection 	Injectable 	1 mg/mL; 5 mL (5 mg Vial) 	$50.00
Lipo-Methyl B12 (Methionine / Choline Chrolide / L-Carntitine / Methylcobalamin) 	Anti-Aging 	Injectable 	15 mg / 50 mg / 25 mg / 0.6 mg/mL; 5 mL (75 mg / 250 mg / 125 mg / 3 mg Vial) 	$35.00
Lipo-Methyl B12 (Methionine / Choline Chrolide / L-Carntitine / Methylcobalamin) 	Anti-Aging 	Injectable 	15 mg / 50 mg / 25 mg / 0.6 mg/mL; 10 mL (150 mg / 500 mg / 250 mg / 6 mg Vial) 	$70.00
Methylcobalamin 	Anti-Aging 	Injectable 	2 mg/mL; 10 mL (20 mg Vial) 	$30.00
Methylcobalamin 	Anti-Aging 	Injectable 	1 mg/mL; 10 mL (10 mg Vial) 	$23.00
NAD+ 	Anti-Aging 	Injectable 	50 mg/mL; 5 mL (250 mg Vial) 	$60.00
Nandrolone Decanoate 	HRT 	Injectable 	300 mg/mL; 5 mL Vial 	$50.00
Nandrolone Decanoate 	HRT 	Injectable 	100 mg/mL; 5 mL Vial 	$50.00
Pregnyl 	HRT 	Injectable 	Pregnyl 	$180.00
PT-141 	Sexual Wellness 	injectable 	10mg/mL (10mg Vial) 	$120.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	4 mg / 5 mg/mL; 0.5 mL (2 mg / 2.5 mg Vial) 	$50.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	4 mg / 5 mg/mL; 1 mL (4 mg / 5 mg Vial) 	$60.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	4 mg / 5 mg/mL; 2 mL (8 mg / 10 mg Vial) 	$90.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	4 mg / 5 mg/mL; 4 mL (16 mg / 20 mg Vial) 	$140.00
Sermorelin 	Peptide - Injection 	Injectable 	1.5 mg/mL; 4 mL (6 mg Vial) 	$60.00
Testosterone Cypionate - Ethyl Oleate 	HRT 	Injectable 	50 mg/mL; 5 mL Vial (250mg vial) 	$25.00
Testosterone Cypionate - Ethyl Oleate 	HRT 	Injectable 	50 mg/mL; 5 mL Vial (250mg vial) 	$25.00
Testosterone Cypionate - MCT 	HRT 	Injectable 	25 mg/mL; 5 mL Vial (125mg vial) 	$25.00
Testosterone Cypionate - MCT 	HRT 	Injectable 	200 mg/mL; 5 mL Vial (1000mg Vial) 	$25.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	20 mg / 5 mg/mL; 1 mL (20 mg / 5 mg Vial) 	$100.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	20 mg / 5 mg/mL; 0.5 mL (10 mg / 2.5 mg Vial) 	$75.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	20 mg / 5 mg/mL; 3 mL (60 mg / 15 mg Vial) 	$185.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	20 mg / 5 mg/mL; 2 mL (40 mg / 10 mg Vial) 	$150.00
Cyanocobalamin 10mg/10mL 	Wellness 	Injectable 	1mg/10ml 	$20.00
Glutathione 2000mg/10mL 	Wellness 	Injectable 	200mg/10ml 	$25.00
Glutathione 6000mg/30mL 	Wellness 	Injectable 	200mg/30ml 	$55.00
Gonadorelin 10mg/5mL 	HRT 	Injectable 	2mg/5ml 	$80.00
Gonadorelin 2mg 	HRT 	Injectable 	2mg/1ml 	$26.00
Gonadorelin 6mg/6mL 	HRT 	Injectable 	1mg/1ml 	$60.00
Methylcobalamin 10mg/10mL 	Wellness 	Injectable 	1mg/10ml 	$25.00
MIC 	Weight Loss 	Injectable 	25/50/50/10ml 	$23.00
NAD+ 1000mg/10mL 	Peptide - Injection 	Injectable 	100mg/10ml 	$90.00
NAD+ 1200mg/6mL 	Peptide - Injection 	Injectable 	200mg/6ml 	$90.00

-- 6 of 7 --

NAD+ 500mg/2.5mL 	Peptide - Injection 	Injectable 	200mg/2.5ml 	$68.00
NAD+ Sublinguals 	Peptide - Injection 	Injectable 	100mg/ampul (30) 	$60.00
Phenylephrine 2mg/2mL 	Peptide - Injection 	Injectable 	1mg/2ml 	$35.00
Sermorelin 15mg/6mL 	Peptide - Injection 	Injectable 	2.5mg/6ml 	$90.00
Sermorelin 8mg/3.2mL 	Peptide - Injection 	Injectable 	2.5mg/3.2ml 	$65.00
Sermorelin 9mg/3.6mL 	Peptide - Injection 	Injectable 	2.5mg/3.6ml 	$67.00
Tri-Mix 1 	Peptide - Injection 	Injectable 	20 doses 	$65.00
Tri-Mix 2 	Peptide - Injection 	Injectable 	20 doses 	$70.00
DSIP / BPC-157 / CJC-1295 	Peptide - Injection 	Injectable 	1 mg / 2 mg / 2 mg/mL; 5 mL Vial 	$150.00
Epithalon 	Peptide - Injection 	Injectable 	2 mg/mL; 5 mL Vial 	$120.00
GHK-Cu / Epithalon 	Peptide - Injection 	Injectable 	10 mg / 2 mg/mL; 5 mL Vial 	$150.00
GHK-Cu / Epithalon / CJC-1295 	Peptide - Injection 	Injectable 	10 mg / 2 mg / 2 mg/mL; 5 mL Vial 	$150.00
Glutathione 	Wellness 	Injectable 	200 mg/mL; 10 mL Vial 	$40.00
Gonadorelin 	Peptide - Injection 	Injectable 	1 mg/mL; 5 mL Vial 	$50.00
Kisspeptin 	Peptide - Injection 	Injectable 	1 mg/mL; 5 mL Vial 	$120.00
LIPO-C 	Anti-Aging 	Injectable 	15 mg / 50 mg / 50 mg/mL; 10 mL Vial 	$120.00
LL-37 	Peptide - Injection 	Injectable 	2 mg/mL; 5 mL Vial 	$120.00
Melanotan II 	Peptide - Injection 	Injectable 	2 mg/mL; 5 mL Vial 	$120.00
NAD+ 	Wellness 	Injectable 	100 mg/mL; 10 mL Vial 	$90.00
Pinealon / PE22-28 / Selank 	Peptide - Injection 	Injectable 	2 mg / 2 mg/mL; 5 mL Vial 	$150.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	4 mg (4 mg / 0.5 mg/mL); 1 mL Vial 	$60.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	2 mg (2 mg / 0.5 mg/mL); 1 mL Vial 	$55.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	6 mg (6 mg / 0.5 mg/mL); 1 mL Vial 	$60.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	1 mg (1 mg / 0.5 mg/mL); 1 mL Vial 	$40.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	10 mg (10 mg / 0.5 mg/mL); 1 mL Vial 	$105.00
Semax / Selank 	Peptide - Injection 	Injectable 	1 mg / 1 mg/mL; 5 mL Vial 	$150.00
Sermorelin 	Wellness 	Injectable 	3 mg/mL; 5 mL Vial 	$90.00
SS-31 	Peptide - Injection 	Injectable 	2 mg/mL; 5 mL Vial 	$120.00
TB-500 	Peptide - Injection 	Injectable 	3 mg/mL; 5 mL Vial 	$120.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	20 mg (10 mg / 0.5 mg/mL); 2 mL Vial 	$100.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	10 mg (5 mg / 0.5 mg/mL); 2 mL Vial 	$75.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	60 mg (30 mg / 0.5 mg/mL); 2 mL Vial 	$185.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	50 mg (25 mg / 0.5 mg/mL); 2 mL Vial 	$170.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	40 mg (20 mg / 0.5 mg/mL); 2 mL Vial 	$150.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	30 mg (15 mg / 0.5 mg/mL); 2 mL Vial 	$135.00
DSIP / BPC-157 / CJC-1295 	Peptide - Injection 	Injectable 	1 mg / 2 mg / 2 mg/mL; 5 mL Vial 	$150.00
Epithalon 	Peptide - Injection 	Injectable 	2 mg/mL; 5 mL Vial 	$120.00
GHK-Cu / Epithalon 	Peptide - Injection 	Injectable 	10 mg / 2 mg/mL; 5 mL Vial 	$150.00
GHK-Cu / Epithalon / CJC-1295 	Peptide - Injection 	Injectable 	10 mg / 2 mg / 2 mg/mL; 5 mL Vial 	$150.00
Glutathione 	Wellness 	Injectable 	200 mg/mL; 10 mL Vial 	$40.00
Gonadorelin 	Peptide - Injection 	Injectable 	1 mg/mL; 5 mL Vial 	$50.00
Kisspeptin 	Peptide - Injection 	Injectable 	1 mg/mL; 5 mL Vial 	$120.00
LIPO-C 	Anti-Aging 	Injectable 	15 mg / 50 mg / 50 mg/mL; 10 mL Vial 	$120.00
LL-37 	Peptide - Injection 	Injectable 	2 mg/mL; 5 mL Vial 	$120.00
Melanotan II 	Peptide - Injection 	Injectable 	2 mg/mL; 5 mL Vial 	$120.00
NAD+ 	Wellness 	Injectable 	100 mg/mL; 10 mL Vial 	$90.00
Pinealon / PE22-28 / Selank 	Peptide - Injection 	Injectable 	2 mg / 2 mg/mL; 5 mL Vial 	$150.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	10 mg (10 mg / 0.5 mg/mL); 1 mL Vial 	$105.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	1 mg (1 mg / 0.5 mg/mL); 1 mL Vial 	$40.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	2 mg (2 mg / 0.5 mg/mL); 1 mL Vial 	$55.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	4 mg (4 mg / 0.5 mg/mL); 1 mL Vial 	$60.00
Semaglutide / Glycine 	Weight Loss 	Injectable 	6 mg (6 mg / 0.5 mg/mL); 1 mL Vial 	$60.00
Semax / Selank 	Peptide - Injection 	Injectable 	1 mg / 1 mg/mL; 5 mL Vial 	$150.00
Sermorelin 	Wellness 	Injectable 	3 mg/mL; 5 mL Vial 	$90.00
SS-31 	Peptide - Injection 	Injectable 	2 mg/mL; 5 mL Vial 	$120.00
TB-500 	Peptide - Injection 	Injectable 	3 mg/mL; 5 mL Vial 	$120.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	50 mg (25 mg / 0.5 mg/mL); 2 mL Vial 	$170.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	10 mg (5 mg / 0.5 mg/mL); 2 mL Vial 	$75.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	20 mg (10 mg / 0.5 mg/mL); 2 mL Vial 	$100.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	30 mg (15 mg / 0.5 mg/mL); 2 mL Vial 	$135.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	40 mg (20 mg / 0.5 mg/mL); 2 mL Vial 	$150.00
Tirzepatide / Glycine 	Weight Loss 	Injectable 	60 mg (30 mg / 0.5 mg/mL); 2 mL Vial 	$185.00

-- 7 of 7 --

